method,class_name,target_area_quartile,iou,dice
center_color,aeroplane,Q1,0.440191,0.5764933793103448
center_color,aeroplane,Q2,0.45796044444444445,0.58706625
center_color,aeroplane,Q3,0.48521494117647057,0.6198628823529412
center_color,aeroplane,Q4,0.49139057142857145,0.636223
center_color,bicycle,Q1,0.17895135,0.2889443
center_color,bicycle,Q2,0.2031156875,0.33189962500000003
center_color,bicycle,Q3,0.226133,0.368855
center_color,bicycle,Q4,0.296966,0.45794
center_color,bird,Q1,0.5535393829787234,0.6891133404255319
center_color,bird,Q2,0.5146149999999999,0.6543211923076923
center_color,bird,Q3,0.5569522,0.6944542666666667
center_color,bird,Q4,0.5105592857142857,0.650227
center_color,boat,Q1,0.5325775526315789,0.6555291315789473
center_color,boat,Q2,0.5573616923076923,0.6801254615384615
center_color,boat,Q3,0.4464100833333333,0.5712848333333334
center_color,boat,Q4,0.50758425,0.6503537500000001
center_color,bottle,Q1,0.49736163636363634,0.6351478181818182
center_color,bottle,Q2,0.5083719999999999,0.6480672857142856
center_color,bottle,Q3,0.463157125,0.620653
center_color,bottle,Q4,0.6064676363636363,0.7402770909090909
center_color,bus,Q1,0.6088745714285714,0.7250764285714286
center_color,bus,Q2,0.538625375,0.6608985
center_color,bus,Q3,0.5627264000000001,0.6946122
center_color,bus,Q4,0.5858652162162162,0.7229147567567568
center_color,car,Q1,0.5760225555555556,0.7156686666666666
center_color,car,Q2,0.5459936923076923,0.6931903076923077
center_color,car,Q3,0.610453,0.7416933076923077
center_color,car,Q4,0.5897179032258065,0.7204060645161291
center_color,cat,Q1,0.5625532857142858,0.6792464285714287
center_color,cat,Q2,0.5399157272727272,0.6882550909090909
center_color,cat,Q3,0.6050662250000001,0.736956525
center_color,cat,Q4,0.658774525,0.77901985
center_color,chair,Q1,0.4319851111111111,0.5700036666666667
center_color,chair,Q2,0.5705430909090908,0.6946066363636363
center_color,chair,Q3,0.420572,0.5584487777777778
center_color,chair,Q4,0.3912766666666667,0.49657866666666667
center_color,cow,Q1,0.6246818666666667,0.7574326
center_color,cow,Q2,0.57852925,0.7190555625
center_color,cow,Q3,0.5931024736842105,0.724929
center_color,cow,Q4,0.5879971764705882,0.7235374117647059
center_color,diningtable,Q1,0.3588745,0.475585375
center_color,diningtable,Q2,0.545938625,0.65112625
center_color,diningtable,Q3,0.6456657,0.7739384
center_color,diningtable,Q4,0.5730947647058824,0.7043828823529411
center_color,dog,Q1,0.44845725,0.57751875
center_color,dog,Q2,0.500691923076923,0.6451751153846155
center_color,dog,Q3,0.5121357142857142,0.6423371428571428
center_color,dog,Q4,0.5701420857142857,0.7068303428571429
center_color,horse,Q1,0.561559375,0.7022709583333334
center_color,horse,Q2,0.4928261904761905,0.6427892857142857
center_color,horse,Q3,0.5312227692307693,0.6820314615384616
center_color,horse,Q4,0.6303009375,0.762550625
center_color,motorbike,Q1,0.4838714444444444,0.6385863333333334
center_color,motorbike,Q2,0.4646773913043479,0.6064571304347826
center_color,motorbike,Q3,0.4147903125,0.56578925
