class_name,method,num_samples,mean_iou,std_iou,mean_dice,std_dice
aeroplane,center_color,1,0.262385,0.000000,0.415698,0.000000
aeroplane,robust_superpixel,1,0.433684,0.000000,0.604993,0.000000
bicycle,center_color,1,0.188934,0.000000,0.317821,0.000000
bicycle,robust_superpixel,1,0.186586,0.000000,0.314493,0.000000
boat,center_color,4,0.662504,0.237116,0.768119,0.203100
boat,robust_superpixel,4,0.683673,0.245834,0.781641,0.209191
bus,center_color,2,0.705257,0.061503,0.825629,0.042355
bus,robust_superpixel,2,0.722029,0.079712,0.836086,0.053877
cow,center_color,2,0.712027,0.116072,0.826399,0.079567
cow,robust_superpixel,2,0.715269,0.119314,0.828333,0.081501
diningtable,center_color,3,0.580798,0.298177,0.681453,0.283366
diningtable,robust_superpixel,3,0.614422,0.304466,0.709305,0.275636
horse,center_color,3,0.317248,0.069755,0.477291,0.082959
horse,robust_superpixel,3,0.523834,0.067347,0.684967,0.057825
person,center_color,3,0.510473,0.224911,0.648507,0.184265
person,robust_superpixel,3,0.539858,0.201798,0.680438,0.158266
sheep,center_color,2,0.635512,0.010958,0.777086,0.008194
sheep,robust_superpixel,2,0.691216,0.032820,0.816973,0.022958
sofa,center_color,3,0.588257,0.054598,0.739299,0.042458
sofa,robust_superpixel,3,0.629406,0.036781,0.771931,0.027825
train,center_color,4,0.534420,0.258309,0.654502,0.252215
train,robust_superpixel,4,0.564319,0.260080,0.679090,0.256621
tvmonitor,center_color,2,0.535118,0.218480,0.670234,0.189254
tvmonitor,robust_superpixel,2,0.650251,0.105046,0.783133,0.077460
