sample_id,class_name,baseline_iou,improved_iou,delta_iou,baseline_dice,improved_dice,delta_dice,mask_pixels,pred_pixels
sample_024,horse,0.221775,0.609444,0.387669,0.363037,0.757335,0.394298,52729,60629
sample_006,tvmonitor,0.316638,0.545205,0.228567,0.480980,0.705673,0.224693,51333,27987
sample_000,aeroplane,0.262385,0.433684,0.171299,0.415698,0.604993,0.189295,30296,65844
sample_023,horse,0.386485,0.517178,0.130693,0.557503,0.681763,0.124260,33245,51236
sample_008,horse,0.343483,0.444881,0.101398,0.511332,0.615803,0.104471,9798,20741
sample_003,train,0.496248,0.592248,0.096000,0.663323,0.743914,0.080591,73727,61509
sample_007,person,0.313475,0.395683,0.082208,0.477321,0.567010,0.089689,141856,98736
sample_020,sheep,0.646470,0.724036,0.077566,0.785280,0.839931,0.054651,43336,51848
sample_010,sofa,0.562012,0.633092,0.071080,0.719600,0.775329,0.055729,30923,44454
sample_028,diningtable,0.848931,0.900095,0.051164,0.918294,0.947421,0.029127,35496,34152
sample_027,boat,0.806858,0.851095,0.044237,0.893106,0.919558,0.026452,1893,1911
sample_025,sofa,0.538492,0.582629,0.044137,0.700026,0.736280,0.036254,15676,21022
sample_013,boat,0.690582,0.731019,0.040437,0.816976,0.844611,0.027635,5404,5517
sample_019,bus,0.766760,0.801742,0.034982,0.867984,0.889963,0.021979,151036,152489
sample_005,sheep,0.624553,0.658396,0.033843,0.768892,0.794015,0.025123,51326,70382
sample_026,diningtable,0.164876,0.192583,0.027707,0.283079,0.322968,0.039889,8106,39069
sample_001,train,0.660950,0.683475,0.022525,0.795870,0.811981,0.016111,46861,44316
sample_022,diningtable,0.728587,0.750588,0.022001,0.842986,0.857527,0.014541,43394,49669
sample_018,sofa,0.664267,0.672497,0.008230,0.798270,0.804183,0.005913,12036,17415
sample_011,cow,0.828099,0.834583,0.006484,0.905967,0.909834,0.003867,12235,12974
sample_004,person,0.392706,0.398652,0.005946,0.563947,0.570051,0.006104,42725,70749
sample_014,tvmonitor,0.753598,0.755297,0.001699,0.859488,0.860592,0.001104,39599,30655
sample_017,train,0.139867,0.140940,0.001073,0.245410,0.247059,0.001649,36363,5125
sample_002,boat,0.269366,0.269366,0.000000,0.424410,0.424410,0.000000,8233,30522
sample_009,person,0.825239,0.825239,0.000000,0.904253,0.904253,0.000000,49160,59564
sample_012,cow,0.595955,0.595955,0.000000,0.746832,0.746832,0.000000,95757,58982
sample_016,train,0.840613,0.840613,0.000000,0.913406,0.913406,0.000000,28319,33625
sample_029,boat,0.883212,0.883212,0.000000,0.937984,0.937984,0.000000,376,398
sample_021,bus,0.643755,0.642317,-0.001438,0.783274,0.782209,-0.001065,13275,14761
sample_015,bicycle,0.188934,0.186586,-0.002348,0.317821,0.314493,-0.003328,1141,5352
