sample_id,class_name,method,iou,dice,mask_pixels,pred_pixels
sample_000,aeroplane,center_color,0.262385,0.415698,30296,47193
sample_000,aeroplane,robust_superpixel,0.433684,0.604993,30296,65844
sample_001,train,center_color,0.660950,0.795870,46861,42141
sample_001,train,robust_superpixel,0.683475,0.811981,46861,44316
sample_002,boat,center_color,0.269366,0.424410,8233,30522
sample_002,boat,robust_superpixel,0.269366,0.424410,8233,30522
sample_003,train,center_color,0.496248,0.663323,73727,53089
sample_003,train,robust_superpixel,0.592248,0.743914,73727,61509
sample_004,person,center_color,0.392706,0.563947,42725,65505
sample_004,person,robust_superpixel,0.398652,0.570051,42725,70749
sample_005,sheep,center_color,0.624553,0.768892,51326,60968
sample_005,sheep,robust_superpixel,0.658396,0.794015,51326,70382
sample_006,tvmonitor,center_color,0.316638,0.480980,51333,16254
sample_006,tvmonitor,robust_superpixel,0.545205,0.705673,51333,27987
sample_007,person,center_color,0.313475,0.477321,141856,84503
sample_007,person,robust_superpixel,0.395683,0.567010,141856,98736
sample_008,horse,center_color,0.343483,0.511332,9798,17249
sample_008,horse,robust_superpixel,0.444881,0.615803,9798,20741
sample_009,person,center_color,0.825239,0.904253,49160,59564
sample_009,person,robust_superpixel,0.825239,0.904253,49160,59564
sample_010,sofa,center_color,0.562012,0.719600,30923,33510
sample_010,sofa,robust_superpixel,0.633092,0.775329,30923,44454
sample_011,cow,center_color,0.828099,0.905967,12235,12618
sample_011,cow,robust_superpixel,0.834583,0.909834,12235,12974
