sample_id,class_name,experiment,severity,condition,method,trial,iou,dice,sam_score,pred_pixels,target_pixels,device
sample_000,aeroplane,modality,clean,point_only,sam_vit_b,0,0.722076,0.838611,0.910843,22155,30296,cuda
sample_000,aeroplane,modality,clean,box_only,sam_vit_b,0,0.896068,0.945186,0.970028,29743,30296,cuda
sample_000,aeroplane,modality,clean,point_box,sam_vit_b,0,0.831604,0.908061,0.959509,25480,30296,cuda
sample_000,aeroplane,noise_decomposition,clean,clean,sam_single_prompt,0,0.831604,0.908061,0.959509,25480,30296,cuda
sample_000,aeroplane,noise_decomposition,mild,point_noise,sam_single_prompt,0,0.906560,0.950990,0.971685,29141,30296,cuda
sample_000,aeroplane,noise_decomposition,mild,point_noise,sam_single_prompt,1,0.919923,0.958292,0.965892,29932,30296,cuda
sample_000,aeroplane,noise_decomposition,mild,box_noise,sam_single_prompt,0,0.905607,0.950466,0.964074,28875,30296,cuda
sample_000,aeroplane,noise_decomposition,mild,box_noise,sam_single_prompt,1,0.810954,0.895610,0.965236,25054,30296,cuda
sample_000,aeroplane,noise_decomposition,mild,point_box_noise,sam_single_prompt,0,0.907359,0.951430,0.965961,30070,30296,cuda
sample_000,aeroplane,noise_decomposition,mild,point_box_noise,sam_single_prompt,1,0.845379,0.916212,0.963507,26311,30296,cuda
sample_000,aeroplane,uncertainty_ensemble,mild,point_box_noise,sam_single_noisy,0,0.907359,0.951430,0.965961,30070,30296,cuda
sample_000,aeroplane,uncertainty_ensemble,mild,point_box_noise,sam_score_select,0,0.910810,0.953323,0.968683,28834,30296,cuda
sample_000,aeroplane,uncertainty_ensemble,mild,point_box_noise,sam_consistency_medoid,0,0.893973,0.944019,0.966602,28688,30296,cuda
sample_000,aeroplane,uncertainty_ensemble,mild,point_box_noise,sam_vote_consensus,0,0.906181,0.950782,0.966602,29072,30296,cuda
sample_000,aeroplane,uncertainty_ensemble,mild,point_box_noise,sam_oracle_best,0,0.910810,0.953323,0.968683,28834,30296,cuda
sample_000,aeroplane,uncertainty_ensemble,mild,point_box_noise,sam_single_noisy,1,0.845379,0.916212,0.963507,26311,30296,cuda
sample_000,aeroplane,uncertainty_ensemble,mild,point_box_noise,sam_score_select,1,0.824205,0.903632,0.966238,25428,30296,cuda
sample_000,aeroplane,uncertainty_ensemble,mild,point_box_noise,sam_consistency_medoid,1,0.845379,0.916212,0.963989,26311,30296,cuda
sample_000,aeroplane,uncertainty_ensemble,mild,point_box_noise,sam_vote_consensus,1,0.848821,0.918230,0.963989,26485,30296,cuda
sample_000,aeroplane,uncertainty_ensemble,mild,point_box_noise,sam_oracle_best,1,0.871494,0.931335,0.962062,29152,30296,cuda
sample_000,aeroplane,noise_decomposition,moderate,point_noise,sam_single_prompt,0,0.904783,0.950012,0.967750,29038,30296,cuda
sample_000,aeroplane,noise_decomposition,moderate,point_noise,sam_single_prompt,1,0.904582,0.949901,0.966027,28567,30296,cuda
sample_000,aeroplane,noise_decomposition,moderate,box_noise,sam_single_prompt,0,0.696207,0.820899,0.965369,21401,30296,cuda
sample_000,aeroplane,noise_decomposition,moderate,box_noise,sam_single_prompt,1,0.827015,0.905318,0.962889,25607,30296,cuda
sample_000,aeroplane,noise_decomposition,moderate,point_box_noise,sam_single_prompt,0,0.886111,0.939617,0.913710,28545,30296,cuda
sample_000,aeroplane,noise_decomposition,moderate,point_box_noise,sam_single_prompt,1,0.857762,0.923436,0.963666,26676,30296,cuda
sample_000,aeroplane,uncertainty_ensemble,moderate,point_box_noise,sam_single_noisy,0,0.886111,0.939617,0.913710,28545,30296,cuda
sample_000,aeroplane,uncertainty_ensemble,moderate,point_box_noise,sam_score_select,0,0.868518,0.929633,0.980169,27032,30296,cuda
sample_000,aeroplane,uncertainty_ensemble,moderate,point_box_noise,sam_consistency_medoid,0,0.884631,0.938785,0.959190,28382,30296,cuda
sample_000,aeroplane,uncertainty_ensemble,moderate,point_box_noise,sam_vote_consensus,0,0.896508,0.945430,0.959190,28418,30296,cuda
sample_000,aeroplane,uncertainty_ensemble,moderate,point_box_noise,sam_oracle_best,0,0.914279,0.955220,0.973417,29039,30296,cuda
sample_000,aeroplane,uncertainty_ensemble,moderate,point_box_noise,sam_single_noisy,1,0.857762,0.923436,0.963666,26676,30296,cuda
sample_000,aeroplane,uncertainty_ensemble,moderate,point_box_noise,sam_score_select,1,0.834968,0.910063,0.968206,25632,30296,cuda
sample_000,aeroplane,uncertainty_ensemble,moderate,point_box_noise,sam_consistency_medoid,1,0.841018,0.913645,0.965324,25960,30296,cuda
sample_000,aeroplane,uncertainty_ensemble,moderate,point_box_noise,sam_vote_consensus,1,0.851129,0.919578,0.965324,26430,30296,cuda
sample_000,aeroplane,uncertainty_ensemble,moderate,point_box_noise,sam_oracle_best,1,0.860661,0.925113,0.964429,27725,30296,cuda
sample_001,train,modality,clean,point_only,sam_vit_b,0,0.929263,0.963335,0.911946,46361,46861,cuda
sample_001,train,modality,clean,box_only,sam_vit_b,0,0.941862,0.970061,0.991951,48164,46861,cuda
sample_001,train,modality,clean,point_box,sam_vit_b,0,0.935465,0.966657,0.994957,48780,46861,cuda
sample_001,train,noise_decomposition,clean,clean,sam_single_prompt,0,0.935465,0.966657,0.994957,48780,46861,cuda
sample_001,train,noise_decomposition,mild,point_noise,sam_single_prompt,0,0.935514,0.966683,0.995007,48825,46861,cuda
sample_001,train,noise_decomposition,mild,point_noise,sam_single_prompt,1,0.940990,0.969598,0.990916,48593,46861,cuda
sample_001,train,noise_decomposition,mild,box_noise,sam_single_prompt,0,0.869772,0.930351,0.978777,46895,46861,cuda
sample_001,train,noise_decomposition,mild,box_noise,sam_single_prompt,1,0.844311,0.915584,0.978022,43051,46861,cuda
sample_001,train,noise_decomposition,mild,point_box_noise,sam_single_prompt,0,0.816430,0.898939,0.986586,47993,46861,cuda
sample_001,train,noise_decomposition,mild,point_box_noise,sam_single_prompt,1,0.947181,0.972874,0.990473,48251,46861,cuda
sample_001,train,uncertainty_ensemble,mild,point_box_noise,sam_single_noisy,0,0.816430,0.898939,0.986586,47993,46861,cuda
sample_001,train,uncertainty_ensemble,mild,point_box_noise,sam_score_select,0,0.816430,0.898939,0.986586,47993,46861,cuda
sample_001,train,uncertainty_ensemble,mild,point_box_noise,sam_consistency_medoid,0,0.816430,0.898939,0.978402,47993,46861,cuda
sample_001,train,uncertainty_ensemble,mild,point_box_noise,sam_vote_consensus,0,0.816630,0.899060,0.978402,47720,46861,cuda
sample_001,train,uncertainty_ensemble,mild,point_box_noise,sam_oracle_best,0,0.819851,0.901009,0.975727,47895,46861,cuda
sample_001,train,uncertainty_ensemble,mild,point_box_noise,sam_single_noisy,1,0.947181,0.972874,0.990473,48251,46861,cuda
sample_001,train,uncertainty_ensemble,mild,point_box_noise,sam_score_select,1,0.947181,0.972874,0.990473,48251,46861,cuda
sample_001,train,uncertainty_ensemble,mild,point_box_noise,sam_consistency_medoid,1,0.947181,0.972874,0.984821,48251,46861,cuda
sample_001,train,uncertainty_ensemble,mild,point_box_noise,sam_vote_consensus,1,0.945742,0.972114,0.984821,48313,46861,cuda
sample_001,train,uncertainty_ensemble,mild,point_box_noise,sam_oracle_best,1,0.950426,0.974583,0.986485,47524,46861,cuda
sample_001,train,noise_decomposition,moderate,point_noise,sam_single_prompt,0,0.935050,0.966435,0.995539,48775,46861,cuda
sample_001,train,noise_decomposition,moderate,point_noise,sam_single_prompt,1,0.933831,0.965783,1.010545,48823,46861,cuda
sample_001,train,noise_decomposition,moderate,box_noise,sam_single_prompt,0,0.827036,0.905331,0.974882,43897,46861,cuda
sample_001,train,noise_decomposition,moderate,box_noise,sam_single_prompt,1,0.726291,0.841447,0.979399,41349,46861,cuda
sample_001,train,noise_decomposition,moderate,point_box_noise,sam_single_prompt,0,0.700774,0.824065,0.974449,37494,46861,cuda
sample_001,train,noise_decomposition,moderate,point_box_noise,sam_single_prompt,1,0.911849,0.953892,0.974636,50129,46861,cuda
sample_001,train,uncertainty_ensemble,moderate,point_box_noise,sam_single_noisy,0,0.700774,0.824065,0.974449,37494,46861,cuda
sample_001,train,uncertainty_ensemble,moderate,point_box_noise,sam_score_select,0,0.688277,0.815360,0.977902,38397,46861,cuda
sample_001,train,uncertainty_ensemble,moderate,point_box_noise,sam_consistency_medoid,0,0.700774,0.824065,0.968347,37494,46861,cuda
sample_001,train,uncertainty_ensemble,moderate,point_box_noise,sam_vote_consensus,0,0.699656,0.823291,0.968347,37566,46861,cuda
sample_001,train,uncertainty_ensemble,moderate,point_box_noise,sam_oracle_best,0,0.721202,0.838021,0.976586,39070,46861,cuda
sample_001,train,uncertainty_ensemble,moderate,point_box_noise,sam_single_noisy,1,0.911849,0.953892,0.974636,50129,46861,cuda
sample_001,train,uncertainty_ensemble,moderate,point_box_noise,sam_score_select,1,0.942957,0.970641,0.985685,47796,46861,cuda
sample_001,train,uncertainty_ensemble,moderate,point_box_noise,sam_consistency_medoid,1,0.915064,0.955648,0.977915,50001,46861,cuda
sample_001,train,uncertainty_ensemble,moderate,point_box_noise,sam_vote_consensus,1,0.921051,0.958903,0.977915,49618,46861,cuda
sample_001,train,uncertainty_ensemble,moderate,point_box_noise,sam_oracle_best,1,0.942957,0.970641,0.985685,47796,46861,cuda
sample_002,boat,modality,clean,point_only,sam_vit_b,0,0.610073,0.757821,0.929840,5385,8233,cuda
sample_002,boat,modality,clean,box_only,sam_vit_b,0,0.829118,0.906577,0.951220,9557,8233,cuda
sample_002,boat,modality,clean,point_box,sam_vit_b,0,0.730807,0.844470,0.947223,11043,8233,cuda
sample_002,boat,noise_decomposition,clean,clean,sam_single_prompt,0,0.730807,0.844470,0.947223,11043,8233,cuda
sample_002,boat,noise_decomposition,mild,point_noise,sam_single_prompt,0,0.713921,0.833085,0.948688,11244,8233,cuda
sample_002,boat,noise_decomposition,mild,point_noise,sam_single_prompt,1,0.765394,0.867108,0.962720,10489,8233,cuda
sample_002,boat,noise_decomposition,mild,box_noise,sam_single_prompt,0,0.839018,0.912463,0.926774,7566,8233,cuda
sample_002,boat,noise_decomposition,mild,box_noise,sam_single_prompt,1,0.860400,0.924963,0.933583,8492,8233,cuda
sample_002,boat,noise_decomposition,mild,point_box_noise,sam_single_prompt,0,0.140142,0.245833,0.893662,24041,8233,cuda
sample_002,boat,noise_decomposition,mild,point_box_noise,sam_single_prompt,1,0.304229,0.466526,0.908109,21716,8233,cuda
