experiment,severity,condition,method,num_cases,mean_iou,std_iou,mean_dice,std_dice
modality,clean,box_only,sam_vit_b,30,0.856521,0.144554,0.914963,0.099953
modality,clean,point_box,sam_vit_b,30,0.832472,0.148429,0.900172,0.104447
modality,clean,point_only,sam_vit_b,30,0.442972,0.343690,0.530278,0.355434
noise_decomposition,clean,clean,sam_single_prompt,30,0.832472,0.148429,0.900172,0.104447
noise_decomposition,mild,box_noise,sam_single_prompt,60,0.786362,0.175440,0.868021,0.126897
noise_decomposition,mild,point_box_noise,sam_single_prompt,60,0.746356,0.222656,0.831002,0.189187
noise_decomposition,mild,point_noise,sam_single_prompt,60,0.838599,0.147981,0.903875,0.104220
noise_decomposition,moderate,box_noise,sam_single_prompt,60,0.646218,0.246763,0.751980,0.225749
noise_decomposition,moderate,point_box_noise,sam_single_prompt,60,0.638450,0.261644,0.741633,0.240169
noise_decomposition,moderate,point_noise,sam_single_prompt,60,0.850666,0.143315,0.911611,0.099926
uncertainty_ensemble,mild,point_box_noise,sam_consistency_medoid,60,0.758167,0.200136,0.845138,0.153293
uncertainty_ensemble,mild,point_box_noise,sam_oracle_best,60,0.825519,0.148220,0.896276,0.100778
uncertainty_ensemble,mild,point_box_noise,sam_score_select,60,0.772233,0.181481,0.857698,0.135653
uncertainty_ensemble,mild,point_box_noise,sam_single_noisy,60,0.746356,0.222656,0.831002,0.189187
uncertainty_ensemble,mild,point_box_noise,sam_vote_consensus,60,0.766401,0.193292,0.851870,0.146237
uncertainty_ensemble,moderate,point_box_noise,sam_consistency_medoid,60,0.658063,0.250770,0.759454,0.231063
uncertainty_ensemble,moderate,point_box_noise,sam_oracle_best,60,0.740134,0.216309,0.828385,0.182973
uncertainty_ensemble,moderate,point_box_noise,sam_score_select,60,0.679578,0.241341,0.780121,0.206058
uncertainty_ensemble,moderate,point_box_noise,sam_single_noisy,60,0.638450,0.261644,0.741633,0.240169
uncertainty_ensemble,moderate,point_box_noise,sam_vote_consensus,60,0.658514,0.252008,0.759236,0.233643
