sample_id,class_name,severity,trial,method,iou,dice,device
sample_000,aeroplane,clean,0,center_color,0.262385,0.415698,cpu
sample_000,aeroplane,clean,0,robust_superpixel,0.433684,0.604993,cpu
sample_000,aeroplane,clean,0,repaired_superpixel,0.432388,0.603730,cpu
sample_000,aeroplane,clean,0,sam_noisy_prompt,0.831604,0.908061,cuda
sample_000,aeroplane,clean,0,sam_repaired_prompt,0.886009,0.939559,cuda
sample_000,aeroplane,clean,0,sam_score_selected_prompt,0.886009,0.939559,cuda
sample_000,aeroplane,clean,0,sam_oracle_best_prompt,0.886009,0.939559,cuda
sample_000,aeroplane,mild,0,center_color,0.277904,0.434937,cpu
sample_000,aeroplane,mild,0,robust_superpixel,0.462692,0.632658,cpu
sample_000,aeroplane,mild,0,repaired_superpixel,0.291877,0.451864,cpu
sample_000,aeroplane,mild,0,sam_noisy_prompt,0.885837,0.939463,cuda
sample_000,aeroplane,mild,0,sam_repaired_prompt,0.876993,0.934466,cuda
sample_000,aeroplane,mild,0,sam_score_selected_prompt,0.876993,0.934466,cuda
sample_000,aeroplane,mild,0,sam_oracle_best_prompt,0.885837,0.939463,cuda
sample_000,aeroplane,mild,1,center_color,0.324164,0.489614,cpu
sample_000,aeroplane,mild,1,robust_superpixel,0.476990,0.645895,cpu
sample_000,aeroplane,mild,1,repaired_superpixel,0.482499,0.650927,cpu
sample_000,aeroplane,mild,1,sam_noisy_prompt,0.822242,0.902451,cuda
sample_000,aeroplane,mild,1,sam_repaired_prompt,0.853460,0.920937,cuda
sample_000,aeroplane,mild,1,sam_score_selected_prompt,0.853460,0.920937,cuda
sample_000,aeroplane,mild,1,sam_oracle_best_prompt,0.853460,0.920937,cuda
sample_000,aeroplane,moderate,0,center_color,0.296147,0.456966,cpu
sample_000,aeroplane,moderate,0,robust_superpixel,0.514840,0.679728,cpu
sample_000,aeroplane,moderate,0,repaired_superpixel,0.507510,0.673309,cpu
sample_000,aeroplane,moderate,0,sam_noisy_prompt,0.835833,0.910576,cuda
sample_000,aeroplane,moderate,0,sam_repaired_prompt,0.804619,0.891733,cuda
sample_000,aeroplane,moderate,0,sam_score_selected_prompt,0.804619,0.891733,cuda
sample_000,aeroplane,moderate,0,sam_oracle_best_prompt,0.835833,0.910576,cuda
sample_000,aeroplane,moderate,1,center_color,0.000409,0.000818,cpu
sample_000,aeroplane,moderate,1,robust_superpixel,0.193330,0.324017,cpu
sample_000,aeroplane,moderate,1,repaired_superpixel,0.179036,0.303700,cpu
sample_000,aeroplane,moderate,1,sam_noisy_prompt,0.837962,0.911838,cuda
sample_000,aeroplane,moderate,1,sam_repaired_prompt,0.068658,0.128494,cuda
sample_000,aeroplane,moderate,1,sam_score_selected_prompt,0.837962,0.911838,cuda
sample_000,aeroplane,moderate,1,sam_oracle_best_prompt,0.837962,0.911838,cuda
sample_001,train,clean,0,center_color,0.660950,0.795870,cpu
sample_001,train,clean,0,robust_superpixel,0.683475,0.811981,cpu
sample_001,train,clean,0,repaired_superpixel,0.572586,0.728210,cpu
sample_001,train,clean,0,sam_noisy_prompt,0.935465,0.966657,cuda
sample_001,train,clean,0,sam_repaired_prompt,0.838012,0.911868,cuda
sample_001,train,clean,0,sam_score_selected_prompt,0.935465,0.966657,cuda
