severity,method,num_cases,mean_iou,std_iou,mean_dice,std_dice
clean,center_color,30,0.546839,0.232282,0.675412,0.212246
clean,repaired_superpixel,30,0.578146,0.230865,0.699792,0.229156
clean,robust_superpixel,30,0.603078,0.211072,0.727713,0.189544
clean,sam_noisy_prompt,30,0.832472,0.148429,0.900172,0.104447
clean,sam_oracle_best_prompt,30,0.848330,0.145304,0.909928,0.102580
clean,sam_repaired_prompt,30,0.746610,0.254488,0.821963,0.230458
clean,sam_score_selected_prompt,30,0.813641,0.167943,0.886086,0.121249
mild,center_color,60,0.483795,0.232656,0.615338,0.237627
mild,repaired_superpixel,60,0.527635,0.216787,0.660372,0.218057
mild,robust_superpixel,60,0.557939,0.200695,0.692667,0.185573
mild,sam_noisy_prompt,60,0.773091,0.203777,0.853682,0.162084
mild,sam_oracle_best_prompt,60,0.782379,0.196658,0.861064,0.155283
mild,sam_repaired_prompt,60,0.674873,0.281266,0.762576,0.262749
mild,sam_score_selected_prompt,60,0.740906,0.229281,0.825155,0.202679
moderate,center_color,60,0.387397,0.226017,0.517629,0.253887
moderate,repaired_superpixel,60,0.442463,0.207766,0.582101,0.220959
moderate,robust_superpixel,60,0.456847,0.205769,0.596730,0.218409
moderate,sam_noisy_prompt,60,0.675623,0.229117,0.779531,0.199952
moderate,sam_oracle_best_prompt,60,0.692081,0.222878,0.793427,0.189031
moderate,sam_repaired_prompt,60,0.574450,0.302152,0.671547,0.307876
moderate,sam_score_selected_prompt,60,0.611794,0.274854,0.713413,0.273873
