sample_id,class_name,method,iou,dice,score,mask_pixels,pred_pixels
sample_000,aeroplane,sam_vit_b_point_box,0.831604,0.908061,0.959509,30296,25480
sample_001,train,sam_vit_b_point_box,0.935465,0.966657,0.994957,46861,48780
sample_002,boat,sam_vit_b_point_box,0.730807,0.844470,0.947223,8233,11043
sample_003,train,sam_vit_b_point_box,0.951961,0.975390,0.989265,73727,72715
sample_004,person,sam_vit_b_point_box,0.670492,0.802748,0.925432,42725,49842
sample_005,sheep,sam_vit_b_point_box,0.873784,0.932641,0.974893,51326,55416
sample_006,tvmonitor,sam_vit_b_point_box,0.973765,0.986708,0.988471,51333,50608
sample_007,person,sam_vit_b_point_box,0.822423,0.902560,0.946451,141856,117965
sample_008,horse,sam_vit_b_point_box,0.725849,0.841150,0.939688,9798,12462
sample_009,person,sam_vit_b_point_box,0.965467,0.982430,1.005448,49160,50271
sample_010,sofa,sam_vit_b_point_box,0.835908,0.910621,0.975891,30923,36699
sample_011,cow,sam_vit_b_point_box,0.894901,0.944536,0.976207,12235,13295
sample_012,cow,sam_vit_b_point_box,0.942932,0.970628,0.984067,95757,92517
sample_013,boat,sam_vit_b_point_box,0.869950,0.930453,0.894927,5404,5150
sample_014,tvmonitor,sam_vit_b_point_box,0.968858,0.984183,0.992097,39599,38732
sample_015,bicycle,sam_vit_b_point_box,0.353896,0.522782,0.852728,1141,2195
sample_016,train,sam_vit_b_point_box,0.923382,0.960165,0.986013,28319,27963
sample_017,train,sam_vit_b_point_box,0.939863,0.968999,0.992380,36363,34184
sample_018,sofa,sam_vit_b_point_box,0.894497,0.944311,0.940190,12036,12888
sample_019,bus,sam_vit_b_point_box,0.963496,0.981409,0.983702,151036,150231
sample_020,sheep,sam_vit_b_point_box,0.946367,0.972444,0.982616,43336,43688
sample_021,bus,sam_vit_b_point_box,0.881652,0.937104,0.956608,13275,14517
sample_022,diningtable,sam_vit_b_point_box,0.527721,0.690861,0.966805,43394,25190
sample_023,horse,sam_vit_b_point_box,0.811760,0.896101,0.962321,33245,35158
sample_024,horse,sam_vit_b_point_box,0.880965,0.936716,0.950755,52729,58041
sample_025,sofa,sam_vit_b_point_box,0.765448,0.867143,0.951327,15676,19580
sample_026,diningtable,sam_vit_b_point_box,0.514576,0.679498,0.929018,8106,14287
sample_027,boat,sam_vit_b_point_box,0.893100,0.943532,0.958268,1893,2003
sample_028,diningtable,sam_vit_b_point_box,0.947105,0.972834,0.991180,35496,34113
sample_029,boat,sam_vit_b_point_box,0.736170,0.848039,0.946341,376,440
