comparison,metric,baseline,candidate,num_pairs,baseline_mean,candidate_mean,mean_delta,ci95_low,ci95_high,paired_sign_flip_p,significant_005
robust_superpixel_vs_center_color,iou,center_color,robust_superpixel,30,0.546839,0.603078,0.056239,0.030149,0.089117,0.000020,true
robust_superpixel_vs_center_color,dice,center_color,robust_superpixel,30,0.675412,0.727713,0.052301,0.025984,0.085236,0.000020,true
sam_box_only_vs_point_box,iou,point_box,box_only,30,0.832472,0.856521,0.024049,0.007961,0.042053,0.009220,true
sam_point_box_vs_point_only,iou,point_only,point_box,30,0.442972,0.832472,0.389500,0.258545,0.522134,0.000020,true
sam_box_only_vs_point_only,iou,point_only,box_only,30,0.442972,0.856521,0.413549,0.283994,0.545368,0.000020,true
sam_box_only_vs_point_box,dice,point_box,box_only,30,0.900172,0.914963,0.014790,0.003105,0.027399,0.022720,true
sam_point_box_vs_point_only,dice,point_only,point_box,30,0.530278,0.900172,0.369895,0.236564,0.503654,0.000020,true
sam_box_only_vs_point_only,dice,point_only,box_only,30,0.530278,0.914963,0.384685,0.253239,0.517485,0.000020,true
moderate_point_noise_vs_clean,iou,clean,point_noise,30,0.832472,0.850666,0.018194,0.006352,0.031866,0.006580,true
moderate_box_noise_vs_clean,iou,clean,box_noise,30,0.832472,0.646218,-0.186254,-0.244565,-0.132198,0.000020,true
moderate_point_box_noise_vs_clean,iou,clean,point_box_noise,30,0.832472,0.638450,-0.194022,-0.265003,-0.130795,0.000020,true
moderate_box_noise_vs_point_noise,iou,point_noise,box_noise,30,0.850666,0.646218,-0.204448,-0.265470,-0.147370,0.000020,true
moderate_point_box_noise_vs_point_noise,iou,point_noise,point_box_noise,30,0.850666,0.638450,-0.212216,-0.287036,-0.144136,0.000020,true
moderate_point_noise_vs_clean,dice,clean,point_noise,30,0.900172,0.911611,0.011438,0.004025,0.019989,0.006020,true
moderate_box_noise_vs_clean,dice,clean,box_noise,30,0.900172,0.751980,-0.148192,-0.202945,-0.099808,0.000020,true
moderate_point_box_noise_vs_clean,dice,clean,point_box_noise,30,0.900172,0.741632,-0.158540,-0.228110,-0.097561,0.000020,true
moderate_box_noise_vs_point_noise,dice,point_noise,box_noise,30,0.911611,0.751980,-0.159631,-0.216801,-0.108398,0.000020,true
moderate_point_box_noise_vs_point_noise,dice,point_noise,point_box_noise,30,0.911611,0.741632,-0.169978,-0.242651,-0.105308,0.000020,true
moderate_score_select_vs_single_noisy,iou,sam_single_noisy,sam_score_select,30,0.638450,0.679578,0.041128,-0.004396,0.102884,0.154177,false
moderate_consistency_medoid_vs_single_noisy,iou,sam_single_noisy,sam_consistency_medoid,30,0.638450,0.658063,0.019613,-0.004035,0.049071,0.190636,false
moderate_vote_consensus_vs_single_noisy,iou,sam_single_noisy,sam_vote_consensus,30,0.638450,0.658514,0.020063,0.000320,0.042696,0.076898,false
moderate_oracle_vs_single_noisy,iou,sam_single_noisy,sam_oracle_best,30,0.638450,0.740134,0.101684,0.059266,0.158870,0.000020,true
moderate_score_select_vs_single_noisy,dice,sam_single_noisy,sam_score_select,30,0.741632,0.780121,0.038489,-0.005974,0.099904,0.203756,false
moderate_consistency_medoid_vs_single_noisy,dice,sam_single_noisy,sam_consistency_medoid,30,0.741632,0.759454,0.017821,-0.003411,0.043952,0.177036,false
moderate_vote_consensus_vs_single_noisy,dice,sam_single_noisy,sam_vote_consensus,30,0.741632,0.759236,0.017604,-0.000857,0.039081,0.108178,false
moderate_oracle_vs_single_noisy,dice,sam_single_noisy,sam_oracle_best,30,0.741632,0.828385,0.086752,0.045070,0.144448,0.000020,true
